lockitver|DO NOT DELETE THIS LINE! 2896
ip_morale|Мораль
ip_morale_text|Мораль отражает способность и готовность солдат отряда проявлять выносливость, храбрость и дисциплину, необходимые для трудностей марша и боя. Это не тождественно удовлетворённости войск: даже элитные солдаты могут ворчать и жаловаться на лишения в походе, но всё равно стойко держаться, когда летят стрелы. Если же командир даёт людям всё, чего им захочется, они могут изнежиться и дрогнуть при атаке врага.^^Наибольшее влияние мораль оказывает на поведение отряда в бою: она определяет, насколько агрессивно солдаты атакуют противника и какова вероятность, что они обратятся в бегство, посчитав, что удача в бою отвернулась от них. Мораль также влияет на скорость марша: менее мотивированные солдаты идут медленнее, не выкладываются физически и чаще останавливаются, чтобы отстающие могли нагнать отряд. При очень низкой морали из отряда начнут дезертировать солдаты.^^Некоторые факторы морали интуитивны: харизматичный командир с репутацией победителя вселяет в своих людей больше уверенности. Полководцы, которые вовремя кормят войска разнообразной пищей и платят жалование, показывают, что заботятся о благополучии отряда и с меньшей вероятностью ведут людей на бессмысленную гибель.^^Другие факторы менее очевидны — особенно связанные со сплочённостью. Бойцы небольшого, тесно связанного отряда часто ожесточённо сражаются против численно превосходящего врага, чтобы не прослыть трусами перед товарищами. В крупном войске сплочённость обычно слабее, так как командиру труднее присматривать за людьми, выслушивать их проблемы и гасить ссоры. Частые бои укрепляют связи между солдатами, тогда как длинные периоды без сражений утомляют их и делают сварливыми.^^Отчёт о морали, доступный через кнопку «Отчёты», показывает сводку факторов, влияющих на мораль ваших людей.
ip_economy|Экономика
ip_courtship|Брачные отношения
ip_courtship_text|Возможно, вы захотите породниться с одной из знатных семей Кальрадии. Брак не является обязательным условием для достижения власти и положения, но даёт возможность укрепить отношения с некоторыми лордами и обосновать притязания на трон.^^Условия брака для мужчин и женщин различаются. Мужчина‑персонаж обычно следует традиционному пути ухаживания: ему нужно заслужить хорошую репутацию в аристократическом обществе Кальрадии, наладить отношения с родителями или опекунами невесты, а затем по местному обычаю ухаживать за самой дамой. Если это кажется вам слишком долгим, можно выбрать более короткий, но рискованный путь, который ухудшит отношения с другими лордами.^^Мужчинам‑персонажам стоит помнить, что другие лорды тоже будут соперничать с ними за благосклонность дам. Вкусы каждой дамы непредсказуемы, и вы можете столкнуться с отказом. Романы в Кальрадии, как и везде, хрупки и не всегда складываются. Можно прибегнуть и к менее рыцарским методам завоевания сердца дамы, но это сильно ударит по вашей репутации.^^Чтобы начать ухаживания, мужчина‑персонаж должен вовлечься в светскую жизнь кальрадской знати и участвовать в празднествах вроде турниров. Странствующие менестрели и поэты могут дать полезные сведения о брачных обычаях и поделиться последними слухами.^^Женщины‑персонажи тоже могут вступать в брак, но им следует помнить, что кальрадское общество весьма традиционно и путь авантюристки для женщины крайне необычен. Им, вероятно, придётся долго искать лорда, достаточно широких взглядов, чтобы жениться на них.^^Плюсом является то, что женщинам‑персонажам не нужно следовать сложным ритуалам ухаживания, а сам брак может принести им больше выгод, чем их супругу. Для авантюристки брак может стать кратчайшим путём к власти, а при безжалостной игре муж легко превратится в инструмент её политических замыслов.
ip_politics|Политика
ip_politics_text|Все королевства Кальрадии, несмотря на культурные различия, придерживаются одной политической системы — феодализма. Феодализм основан на личных отношениях: вассалы приносят клятвы верности своим сеньорам, а взамен обычно получают лен — участок земли, доходы с которого позволяют им выставлять войска в походы по требованию сюзерена. В свою очередь, сеньор обязан защищать вассалов и справедливо относиться к ним.^^Так выглядит система в теории. На практике вассалы далеко не всегда действуют в интересах своей фракции, особенно когда у них есть конфликты с другими лордами. У знати разные характеры, и это порой приводит к ссорам. Двое аристократов могли быть друзьями, а затем поссориться из‑за военной неудачи или из‑за соперничества за одну и ту же даму. Ревность проявляется и в борьбе за королевское благоволение — например, при разделе завоёванных земель или назначении маршала, лорда, отвечающего за ведение крупных кампаний.^^Когда одно королевство Кальрадии воюет с другим, внутреннее единство обеих сторон столь же важно для исхода войны, как и численность их армий. В сплочённом королевстве лорды собирают большие армии и сметают противника с поля боя. В раздираемом мелкими конфликтами государстве лорды игнорируют призывы маршала или покидают поход, чтобы заняться собственными делами. Политическое единство фракции также влияет на действия в мирное время: лорды враждующей фракции реже участвуют в совместных налётах и патрулях и не спешат на помощь друг другу при нападении.^^Хотя ссоры в преддверии вражеского наступления кажутся нелепыми, нужно помнить, что верность дворянина в конечном счёте принадлежит не абстрактной фракции или культуре, а самому себе и своей семье. Если он боится краха своего королевства или ощущает себя обойдённым вниманием сюзерена, то легко найдёт предлог отозвать клятву верности и сменить сторону. Учтите это в игре: у вас появятся возможности превратить недовольных лордов, вчерашних врагов, в союзников.
ip_character_backgrounds|Характеры персонажей
ip_character_backgrounds_text|Города и деревни Кальрадии нуждаются в большом разнообразии товаров, чтобы население оставалось здоровым и трудоспособным. В первую очередь это пища. Зерно — основная культура, но людям также нужны жиры и белки в виде мяса, рыбы или сыра. Поскольку сохранение мяса почти так же трудоёмко, как его производство, велик спрос на соль. После еды людям требуется одежда: тяжёлая шерсть, лёгкий лён или роскошный бархат. Наконец, им нужны инструменты для работы — изделия из железа, глины, кожи, а также оружие, доспехи и боевые кони.^^Большинство сельхозпродукции производится в деревнях, тогда как ремесленники в городах специализируются на массовых товарах или дорогих изделиях вроде тканей и железа. В разных регионах встречаются разные ресурсы, поэтому ключом к богатству в Кальрадии является торговля — между деревнями и городами и между самими городами.^^Когда торговля процветает, товары доступны в изобилии и по низким ценам, население центра здорово и деятельно, а мигранты из окрестностей стремятся туда переселиться. Такой центр больше производит и потребляет и способен платить больше налогов своему лорду. Когда торговля затухает, работники ищут занятия в других местах, а экономическая активность сходит на нет. Поэтому правителям выгодно защищать торговые пути от войн и бандитов. Однако хитрые торговцы присматриваются к городам, оказавшимся в изоляции, поскольку там можно получить крупную прибыль из‑за перекошенных цен.^^Так как крестьяне обычно везут свой товар на городские рынки, в деревенских лавках торговля идёт куда слабее, а деревенские жители покупают дёшево и продают дорого. Серьёзные торговцы для прибыли держатся городов, хотя некоторые делают остановку в деревнях, чтобы пополнить запасы.^^Если вы хотите узнать о факторах, влияющих на богатство региона, поговорите с гильдмастером местного города. Дополнительные сведения можно получить у прохожих, хотя они часто хуже осведомлены о чужих ремёслах, чем о своих.^^Влиять на местную экономику проще всего, защищая торговлю, но можно помочь и прямыми инвестициями в предприятия вроде рыбных садков, мельниц или кожевенен. Такие вложения улучшают жизнь населения и приносят вам небольшой доход. Наиболее успешны предприятия, которые производят товары с высоким спросом при изобилии местного сырья.
ip_military_campaigns|Военные кампании
ip_military_campaigns_text|Когда королевства Кальрадии ведут войны, их армии обычно стоят перед двумя основными задачами. Во‑первых, можно опустошать вражеские деревни и разорять земли, подрывая престиж и экономику противника. Во‑вторых, можно захватывать и удерживать замки и города, расширяя территорию. Второй путь зачастую ведёт к долгим и кровавым осадам, но даёт однозначный результат.^^Важно понимать, что королевства Кальрадии не имеют постоянных армий, которые остаются в поле столько, сколько захочет правитель. Вместо этого они опираются на феодальное ополчение — отряды знатных людей и их вооружённой свиты. Иногда отдельные лорды сами совершают набеги, но решающие события обычно происходят, когда собираются крупные армии. Королевский маршал — назначенный королём дворянин — созывает войска перед кампанией и ведёт их в бой, следя за тем, чтобы не держать вассалов в поле слишком долго: иначе те разойдутся по своим делам, и армия ослабнет, став уязвимой для контрудара.^^Поэтому ритм войны в Кальрадии напоминает поединок двух противников: одна сторона собирает силы и пытается нанести удар по вражеской территории. Если маршал потратит слишком мало времени на сбор вассалов, он не сможет нанести серьёзный ущерб; если слишком много — кампания закончится, не успев начаться. Крупные королевства имеют преимущество перед малыми, как сильный боец — перед слабым, но, подобно выносливости в дуэли, политическое единство королевства может стать решающим фактором. Иногда армии двух сторон сходятся в открытом поле, и исход сражения решают численность и мораль войск.^^Осведомлённость королевств о силах противника ограничена. Наступающие лорды вынуждены посылать разведчиков в чужие земли, чтобы выявлять слабые укрепления. Если замок или город подаёт сигнал тревоги, обороняющаяся армия получает сведения о перемещениях врага, но они неточны, особенно по части численности. Лорд, идущий на прорыв осады или выручку деревни, может застать противника врасплох — а может и сам угодить в ловушку. Нападающим тоже приходится следить, насколько далеко они заходят в чужие земли: более агрессивные маршалы идут дальше, чем осторожные.^^От игроков ожидается участие в кампаниях своей фракции: они могут вести часть основной армии или заниматься разведкой в землях врага. Некоторые игроки решат, что их маршал ведёт войну слишком смело или, наоборот, слишком робко. В таких случаях можно плести интриги с другими лордами, добиваясь смещения маршала, или заручиться поддержкой для собственной кандидатуры на этот пост.^^Большинство войн носят временный характер. Король, начавший войну ради чести, будет какое‑то время добиваться успехов, но если не сумеет разгромить врага, скоро начнёт искать способ выйти из конфликта, чтобы не оказаться слабым перед третьей стороной. Правители Кальрадии хорошо понимают, что сегодняшний союзник завтра может стать врагом, и наоборот.
