hint_1|Вы можете приказать солдатам переместиться в указанное место, зажав клавишу F1.
hint_2|Лошади и люди двигаются медленнее в дождливую погоду.
hint_3|Вы можете ожидать на карте мира, удерживая клавишу пробела.
hint_4|Вы можете нанять новых бойцов в свой отряд в тавернах.
hint_5|Вы можете отдавать приказы своему отряду во время боя.
hint_6|Отряд с высоким моральным духом перемещается быстрее по карте.
hint_7|Раненые члены отряда будут исцеляться быстрее, отдыхая в тавернах.
hint_8|Чтобы быстро покупать и продавать предметы в окне инвентаря, удерживайте клавишу Ctrl и нажимайте левую кнопку мыши.
hint_9|Вы можете нажать клавишу Backspace во время боя, чтобы открыть командный интерфейс.
hint_10|Вы будете платить половину жалования войскам, пока находитесь в городе или замке. Аналогично, вы будете платить половину жалования войскам, размещённым в гарнизоне замка.
hint_11|Вы можете мгновенно покинуть любую локацию, нажав клавишу Tab.
hint_12|Вы можете удерживать клавишу Shift для увеличения при прицеливании по удалённым врагам.